ant,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fire_ants_01.jpg/320px-Fire_ants_01.jpg
butterfly,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Fesoj_-_Papilio_machaon_%28by%29.jpg/800px-Fesoj_-_Papilio_machaon_%28by%29.jpg
fly,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Anthomyiidae_sp._1_%28aka%29.jpg/800px-Anthomyiidae_sp._1_%28aka%29.jpg
fish,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Georgia_Aquarium_-_Giant_Grouper_edit.jpg/800px-Georgia_Aquarium_-_Giant_Grouper_edit.jpg
bee,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Tetragonula_carbonaria_%2814521993792%29.jpg/800px-Tetragonula_carbonaria_%2814521993792%29.jpg
cat,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Feral_cat_Virginia_crop.jpg/800px-Feral_cat_Virginia_crop.jpg
hare,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Side_view_close_up_of_rabbit_sitting_on_gravel_under_brush.jpg/800px-Side_view_close_up_of_rabbit_sitting_on_gravel_under_brush.jpg
rabbit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Rabbit_in_montana.jpg/800px-Rabbit_in_montana.jpg
duck,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Duck-iran.JPG/1024px-Duck-iran.JPG
hen,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Female_pair.jpg/800px-Female_pair.jpg
chicken,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Rooster_portrait2.jpg/800px-Rooster_portrait2.jpg
mouse,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/%D0%9C%D1%8B%D1%88%D1%8C_2.jpg/1280px-%D0%9C%D1%8B%D1%88%D1%8C_2.jpg
rat,https://upload.wikimedia.org/wikipedia/commons/6/6d/Street-rat.jpg
raven,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Corvus-brachyrhynchos-001.jpg/800px-Corvus-brachyrhynchos-001.jpg
crow,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Corvus-brachyrhynchos-001.jpg/800px-Corvus-brachyrhynchos-001.jpg
eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Golden_Eagle_in_flight_-_5.jpg/800px-Golden_Eagle_in_flight_-_5.jpg
dog,https://upload.wikimedia.org/wikipedia/commons/a/af/Golden_retriever_eating_pigs_foot.jpg
hound,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Carl_Friedrich_Schulz_-_Rhodesian_Ridgeback.jpg/800px-Carl_Friedrich_Schulz_-_Rhodesian_Ridgeback.jpg
camel,https://upload.wikimedia.org/wikipedia/commons/8/82/2011_Trampeltier_1528.JPG
pig,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cochon_truffier.JPG/800px-Cochon_truffier.JPG
donkey,https://upload.wikimedia.org/wikipedia/commons/8/80/Equus_asinus_Kadzid%C5%82owo_001.jpg
horse,https://upload.wikimedia.org/wikipedia/commons/d/de/Nokota_Horses_cropped.jpg
bat,https://upload.wikimedia.org/wikipedia/commons/7/77/Big-eared-townsend-fledermaus.jpg
toad,https://upload.wikimedia.org/wikipedia/commons/3/31/Bombina_bombina_1_%28Marek_Szczepanek%29.jpg
snake,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Coast_Garter_Snake.jpg/800px-Coast_Garter_Snake.jpg
deer,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Reindeer_in_Kebnekaise.jpg/1024px-Reindeer_in_Kebnekaise.jpg
goat,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Hausziege_04.jpg/800px-Hausziege_04.jpg
bear,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Ursus_arctos_-_Norway.jpg/800px-Ursus_arctos_-_Norway.jpg
cattle,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/CH_cow_2_cropped.jpg/800px-CH_cow_2_cropped.jpg
ox,https://upload.wikimedia.org/wikipedia/commons/f/f3/Hereford_bull_large.jpg
wolf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/European_grey_wolf_in_Prague_zoo.jpg/800px-European_grey_wolf_in_Prague_zoo.jpg
fox,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cerdocyon_thous_MG_9503.jpg/800px-Cerdocyon_thous_MG_9503.jpg
tiger,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Tigress_at_Jim_Corbett_National_Park.jpg/800px-Tigress_at_Jim_Corbett_National_Park.jpg
lion,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Lion_waiting_in_Namibia.jpg/800px-Lion_waiting_in_Namibia.jpg
monkey,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Cute_Monkey_cropped.jpg/800px-Cute_Monkey_cropped.jpg
frog,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Atelopus_zeteki1.jpg/1024px-Atelopus_zeteki1.jpg
spider,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Australian_orb_weaver_spinning_web.jpg/800px-Australian_orb_weaver_spinning_web.jpg
caribou,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Caribou.jpg/1024px-Caribou.jpg
